"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"1WN0","","Schmidt Ranch Airport","Northport","Washington","US",1335,48.933381,-117.749808,"America/Los_Angeles","1WN0"
"1WN1","","Kettle Moraine Airport","Dundee","Wisconsin","US",1040,43.66805,-88.195376,"America/Chicago","1WN1"
"1WN3","","Danielson Field","Star Prairie","Wisconsin","US",1000,45.211861,-92.536028,"America/Chicago","1WN3"
"1XA1","","Sky Acres Airport","Bowie","Texas","US",1070,33.647667,-97.829,"America/Chicago","1XA1"
"1XA4","","Mikeska Field","Brookshire","Texas","US",161,29.873714,-96.004699,"America/Chicago","1XA4"
"1XA5","","Flying Armadillo Field","Paige","Texas","US",410,30.135017,-97.142917,"America/Chicago","1XA5"
"1XA7","","Gloster Aerodrome","Sealy","Texas","US",148,29.733392,-96.059181,"America/Chicago","1XA7"
"1XA8","","Hackberry Airport","Chatfield","Texas","US",433,32.232506,-96.397511,"America/Chicago","1XA8"
"1XS0","","Itll Do Airfield","Sandia","Texas","US",156,27.990675,-97.894235,"America/Chicago","1XS0"
"1XS1","","Dunham Field","Crosby","Texas","US",60,29.938279,-95.046483,"America/Chicago","1XS1"
"1XS2","","Skye Dance Airport","Elgin","Texas","US",532,30.380762,-97.427498,"America/Chicago","1XS2"
"1XS4","","Red Sands Ranch Airport","Mason","Texas","US",1374,30.633744,-99.194606,"America/Chicago","1XS4"
"1XS8","","Pinon Ranch Airport","Brackettville","Texas","US",1644,29.634136,-100.375825,"America/Chicago","1XS8"
"20AK","","Owen Field","Big Lake","Alaska","US",150,61.503789,-149.896044,"America/Anchorage","20AK"
"20AR","","Rak Airport","Guy","Arkansas","US",660,35.307858,-92.320153,"America/Chicago","20AR"
"20CL","","Mysterious Valley Airport","Pope Valley","California","US",1410,38.749347,-122.367478,"America/Los_Angeles","20CL"
"20FD","","Pratt Airport","Greenville","Florida","US",100,30.425486,-83.575985,"America/New_York","20FD"
"20FL","","Lake Suzy Estates Airport","Port Charlotte","Florida","US",25,27.042557,-82.043699,"America/New_York","20FL"
"20GA","","Earl L Small Jr  Field/Stockmar Airport","Villa Rica","Georgia","US",1110,33.756556,-84.885063,"America/New_York","20GA"
"20IA","","Hobbes Field","Cumming","Iowa","US",850,41.522267,-93.801033,"America/Chicago","20IA"
"20ID","","Harrington Airport","Idaho City","Idaho","US",4200,43.720439,-116.005667,"America/Boise","20ID"
"20IN","","Canary's Airport","Franklin","Indiana","US",760,39.513938,-86.051374,"America/Indiana/Indianapolis","20IN"
"20IS","","Mitek Airport","Winslow","Illinois","US",777,42.497231,-89.791787,"America/Chicago","20IS"
"20KS","","Isaacson Airport","Norway","Kansas","US",1533,39.700917,-97.721258,"America/Chicago","20KS"
"20KT","","Brushy Fork Field","Mcdaniels","Kentucky","US",576,37.680639,-86.469319,"America/Chicago","20KT"
"20KY","","Verona Landing Airport","Verona","Kentucky","US",880,38.816944,-84.671111,"America/New_York","20KY"
"20LS","","K-John Airport","Crowley","Louisiana","US",21,30.219711,-92.319794,"America/Chicago","20LS"
"20MS","","Dixon Airport","Barlow","Mississippi","US",280,31.8285,-90.652833,"America/Chicago","20MS"
"20MT","","Prevost Airport","Lambert","Montana","US",2348,47.691667,-104.588056,"America/Denver","20MT"
"20NY","","Stafford Airport","Stafford","New York","US",891,43.008889,-78.043056,"America/New_York","20NY"
"20OH","","Mosquito Strip","Bristolville","Ohio","US",939,41.393744,-80.813375,"America/New_York","20OH"
"20OR","","Warner's Airport","Redland","Oregon","US",325,45.325,-122.424167,"America/Los_Angeles","20OR"
"20SD","","Lutgen Airport","White","South Dakota","US",1764,44.448889,-96.505786,"America/Chicago","20SD"
"20TA","","Mag Drop Airport","Bells","Texas","US",740,33.559167,-96.409444,"America/Chicago","20TA"
"20TN","","Liley Field","Fall Branch","Tennessee","US",1850,36.363667,-82.590667,"America/New_York","20TN"
"20TS","","Bains Private Airport","Bandera","Texas","US",1420,29.809943,-99.068091,"America/Chicago","20TS"
"20TT","","Gone With The Wind Airport","Liberty Hill","Texas","US",1066,30.753881,-97.961656,"America/Chicago","20TT"
"20VA","","Woodford Airpark","Bowling Green","Virginia","US",245,38.082356,-77.488316,"America/New_York","20VA"
"20VG","","Hawk Ridge Airport","Bedford","Virginia","US",760,37.288683,-79.446917,"America/New_York","20VG"
"20WI","","Harju Airport","Redgranite","Wisconsin","US",800,44.021368,-89.079284,"America/Chicago","20WI"
"20XS","","Klutts Field","Chisholm","Texas","US",495,32.835283,-96.378731,"America/Chicago","20XS"
"21AK","","Montana Creek Airport","Talkeetna","Alaska","US",250,62.082611,-150.066931,"America/Anchorage","21AK"
"21AR","","Skarda/Tollville Airport","Hazen","Arkansas","US",218,34.717592,-91.539019,"America/Chicago","21AR"
"21AZ","","White Mountain Lake Airport","Show Low","Arizona","US",6066,34.352262,-109.97011,"America/Phoenix","21AZ"
"21FL","","Kings Field","Clermont","Florida","US",98,28.508611,-81.800278,"America/New_York","21FL"
"21IN","","Grame Airport","Troy","Indiana","US",420,38.119444,-86.765278,"America/Indiana/Indianapolis","21IN"
"21LA","","Southern Helicopters Airport","Baton Rouge","Louisiana","US",28,30.296944,-91.215,"America/Chicago","21LA"
"21LS","","Solitude Airstrip","St Francisville","Louisiana","US",181,30.870389,-91.431111,"America/Chicago","21LS"
"21ME","","Moody Field","Gorham","Maine","US",148,43.677206,-70.422617,"America/New_York","21ME"
"21MO","","Baker Farm Airport","Licking","Missouri","US",1362,37.587675,-91.783336,"America/Chicago","21MO"
"21MS","","Blythe Bayou Farms Airport","Walls","Mississippi","US",209.1,34.912015,-90.213564,"America/Chicago","21MS"
"21MT","","Harris Runway Airport","Bozeman","Montana","US",4582,45.748061,-111.06985,"America/Denver","21MT"
"21MU","","The Peninsula Airport","Shell Knob","Missouri","US",1015,36.564925,-93.509633,"America/Chicago","21MU"
"21ND","","Rosenau Airport","Upham","North Dakota","US",1450,48.582282,-100.854847,"America/Chicago","21ND"
"21NH","","Propwash Airport","Kensington","New Hampshire","US",190,42.916944,-70.935278,"America/New_York","21NH"
"21NK","","Don Kichote-Quixote Airport","Morris","New York","US",1750,42.552778,-75.191111,"America/New_York","21NK"
"21OG","","Ames Airport","Jefferson","Oregon","US",720,44.771806,-122.969444,"America/Los_Angeles","21OG"
"21OI","","Clearwater Airpark","Owensville","Ohio","US",905,39.128118,-84.092711,"America/New_York","21OI"
"21TT","","William Noble Higgins Memorial Aerodrome","Normangee","Texas","US",362,30.96584,-96.167701,"America/Chicago","21TT"
"21TX","","Ambia Farm Airport","Paris","Texas","US",572,33.577078,-95.656039,"America/Chicago","21TX"
"21UT","","Glastar Airport","Stockton","Utah","US",5081,40.440869,-112.367226,"America/Denver","21UT"
"21VA","","Eagles Nest Airport","Cheriton","Virginia","US",40,37.303194,-75.934931,"America/New_York","21VA"
"21XS","","Houston Airpark","Houston","Texas","US",48,29.519679,-95.275214,"America/Chicago","21XS"
"22CL","","Double Tree Farm Airport","Marysville","California","US",550,39.299891,-121.359406,"America/Los_Angeles","22CL"
"22CO","","Flying E Airport","Brighton","Colorado","US",5100,39.958056,-104.485556,"America/Denver","22CO"
"22FA","","Hidden River Airport","Sarasota","Florida","US",47,27.303103,-82.272591,"America/New_York","22FA"
"22GA","","Riverside Airport","Plainville","Georgia","US",620,34.429255,-85.054391,"America/New_York","22GA"
"22ID","","Treasure Gulch Airport","Placerville","Idaho","US",4350,43.944667,-115.941167,"America/Boise","22ID"
"22II","","Lewis Airport","Mount Vernon","Indiana","US",370,37.916987,-87.761133,"America/Chicago","22II"
"22IL","","Horseshoe Mound Airport","Galena","Illinois","US",820,42.411952,-90.400128,"America/Chicago","22IL"
"22IN","","Spangler Farm Airport","Ft. Wayne","Indiana","US",776,41.012639,-84.877694,"America/Indiana/Indianapolis","22IN"
"22LA","","Wd Flyers Airport","Simmesport","Louisiana","US",48,30.997546,-91.881092,"America/Chicago","22LA"
"22LS","","Couvillion Airport","Arnaudville","Louisiana","US",29,30.397778,-91.973889,"America/Chicago","22LS"
"22MD","","Laura's Landing Airport","Hagerstown","Maryland","US",550,39.586944,-77.645,"America/New_York","22MD"
"22MS","","Sky Landings Airport","Lucedale","Mississippi","US",260,30.840278,-88.574722,"America/Chicago","22MS"
"22MT","","Wounded Buck Ranch Airport","Kalispell","Montana","US",2905,48.128092,-114.169808,"America/Denver","22MT"
"22NC","","Flint Ridge Airport","Siler City","North Carolina","US",650,35.821111,-79.468333,"America/New_York","22NC"
"22OG","","Withrotor Airport","Lakeview","Oregon","US",4920,42.275436,-120.393569,"America/Los_Angeles","22OG"
"22OK","","Smith Field","Springer","Oklahoma","US",860,34.315278,-97.175833,"America/Chicago","22OK"
"22OR","","Iron Crown Airport","Silverton","Oregon","US",790,44.941788,-122.762589,"America/Los_Angeles","22OR"
"22TA","","Pharmnall Airport","Grandview","Texas","US",658,32.215381,-97.140217,"America/Chicago","22TA"
"22UT","","Larkspur Airstrip","Big Water","Utah","US",4056,37.025156,-111.62975,"America/Phoenix","22UT"
"22WN","","Southwind Airport","Dodgeville","Wisconsin","US",1030,43.068603,-90.219483,"America/Chicago","22WN"
"22WY","","Kissack/Reynolds Airport","Rozet","Wyoming","US",4380,44.338056,-105.162117,"America/Denver","22WY"
"22XA","","White Stone Ranch Airport","Hico","Texas","US",1174,31.854306,-97.93625,"America/Chicago","22XA"
"22XS","","Longhorn Aux Landing Strip","Fort Hood (Killeen)","Texas","US",720,31.371,-97.666964,"America/Chicago","22XS"
"23AK","","Yuknis Airport","Wasilla","Alaska","US",340,61.594081,-149.310731,"America/Anchorage","23AK"
"23AR","","Classic Airstrip","Jonesboro","Arkansas","US",260,35.825889,-90.547194,"America/Chicago","23AR"
"23AZ","","Moreton Airpark","Wickenburg","Arizona","US",2455,34.019473,-112.825736,"America/Phoenix","23AZ"
"23CD","","Aviation Acres Airport","Burlington","Colorado","US",4210,39.29945,-102.321817,"America/Denver","23CD"
"23CO","","High Mesa Airport","Rush","Colorado","US",6000,38.843861,-103.989944,"America/Denver","23CO"
"23DE","","Full Throttle Farm Airport","Clayton","Delaware","US",81,39.312567,-75.728983,"America/New_York","23DE"
"23FL","","Gyro Town Usa Airport","Wimauma","Florida","US",65,27.684444,-82.244167,"America/New_York","23FL"
"23GE","","Lt Landing Airport","Dublin","Georgia","US",286,32.383056,-83.1,"America/New_York","23GE"
"23ID","","Southfork Airport","Feathervlle","Idaho","US",5612,43.648264,-114.904697,"America/Boise","23ID"
"23JY","","Jamison Field","Quinter","Kansas","US",2548,38.995817,-100.223439,"America/Chicago","23JY"
"23KS","","Kentucky Creek Landing Airport","Lindsborg","Kansas","US",1428,38.510683,-97.596833,"America/Chicago","23KS"
"23KY","","Barnes Farm Airport","Burna","Kentucky","US",500,37.230833,-88.318611,"America/Chicago","23KY"
"23LA","","Warner-Thunder Hill Airport","Covington","Louisiana","US",185,30.630819,-90.080192,"America/Chicago","23LA"
"23MI","","Dvoracek Field","Charlevoix","Michigan","US",740,45.244613,-85.238953,"America/Detroit","23MI"
"23MN","","High Grove Airport","Preston","Minnesota","US",1240,43.641076,-92.022103,"America/Chicago","23MN"
"23MO","","Shiloh Airpark","Brunswick","Missouri","US",679,39.470489,-93.089932,"America/Chicago","23MO"
"23MS","","Smith Farms Airport","Moss Point","Mississippi","US",48,30.677393,-88.551247,"America/Chicago","23MS"
"23MT","","Waterfall Airport","Bozeman","Montana","US",4950,45.657233,-111.040333,"America/Denver","23MT"
"23MU","","Sean D Sheldon Memorial Airfield","Osceola","Missouri","US",900,38.018583,-93.693222,"America/Chicago","23MU"
"23ND","","Anderson Airport","Rogers","North Dakota","US",1424,47.071467,-98.223875,"America/North_Dakota/Center","23ND"
"23NH","","Windswept Airport","Windsor","New Hampshire","US",1289,43.130278,-72.015,"America/New_York","23NH"
"23NJ","","Alliance Airport","Pittsgrove","New Jersey","US",110,39.504722,-75.093056,"America/New_York","23NJ"
"23NK","","Long Acre Farms Airport","Macedon","New York","US",520,43.1125,-77.3125,"America/New_York","23NK"
"23NR","","Whitfield's East Airport","Fairfield","North Carolina","US",1,35.560556,-76.234722,"America/New_York","23NR"
"23NY","","Jolamtra Landing Area Airport","Bath","New York","US",1700,42.279795,-77.33998,"America/New_York","23NY"
"23PA","","Cedar Acres Airport","Revere","Pennsylvania","US",500,40.498403,-75.147322,"America/New_York","23PA"
"23TA","","Rowland R Airfield","Tom Bean","Texas","US",705,33.487331,-96.455818,"America/Chicago","23TA"
"23TS","","Bertani Ranch Airport","Del Rio","Texas","US",1110,29.42273,-100.738701,"America/Chicago","23TS"
"23VA","","Wheatland Airport","Buckingham","Virginia","US",490,37.557089,-78.620008,"America/New_York","23VA"
"23WN","","Willie's Airport","Springbrook","Wisconsin","US",1110,45.911056,-91.6285,"America/Chicago","23WN"
"23XA","","El Tejano Airport","Alvin","Texas","US",20,29.427306,-95.162306,"America/Chicago","23XA"
"23XS","","Shorthorn Aux Landing Strip","Fort Hood (Killeen)","Texas","US",720,31.358501,-97.67113,"America/Chicago","23XS"
"24AR","","Griffin Ag Airport","Lundell","Arkansas","US",160,34.198056,-90.952778,"America/Chicago","24AR"
"24AZ","","Pleasant Valley Airstrip","Young","Arizona","US",5688,34.158097,-110.935402,"America/Phoenix","24AZ"
"24CL","","Boswell Airport","Corcoran","California","US",205.2,36.088672,-119.541628,"America/Los_Angeles","24CL"
"24CO","","Caddoa Creek Airport","Caddoa","Colorado","US",3780,38.05787,-102.926846,"America/Denver","24CO"
"24CT","","Bee Field","Jewett City","Connecticut","US",280,41.566886,-71.966883,"America/New_York","24CT"
"24FL","","Garcon Field","Milton","Florida","US",16,30.49,-87.085833,"America/Chicago","24FL"
"24IA","","Isley Field","Cedar Falls","Iowa","US",982,42.515806,-92.519811,"America/Chicago","24IA"
"24ID","","Flying Z Ranch Airport","Challis","Idaho","US",6223,44.453611,-113.661944,"America/Boise","24ID"
"24IN","","Williams Flying Field","Hartsville","Indiana","US",745,39.236389,-85.693056,"America/Indiana/Indianapolis","24IN"
"24KS","","Weiss Acres Airport","Viola","Kansas","US",1302,37.524328,-97.603186,"America/Chicago","24KS"
"24LA","","Pk Field","Prairieville","Louisiana","US",21,30.318111,-90.955651,"America/Chicago","24LA"
"24LL","","Lambert Airport","Pinckneyville","Illinois","US",510,38.086162,-89.458979,"America/Chicago","24LL"
"24ME","","Slip Knot Landing Airport","Windham","Maine","US",310,43.822222,-70.442778,"America/New_York","24ME"
"24MO","","Mistwood Airport","Camdenton","Missouri","US",875,38.1327,-92.830461,"America/Chicago","24MO"
"24MT","","Haggerty Airport","Bozeman","Montana","US",5170,45.619367,-111.092194,"America/Denver","24MT"
"24NC","","Mc Gee Field","Monroe","North Carolina","US",550,35.127222,-80.475,"America/New_York","24NC"
"24NE","","Orr Airport","Lakeside","Nebraska","US",3827,42.383862,-102.438808,"America/Denver","24NE"
"24NJ","","Taildragger Acres Airport","Salem","New Jersey","US",20,39.490597,-75.433269,"America/New_York","24NJ"
"24NR","","Indian Creek Airport","Lincolnton","North Carolina","US",838,35.423848,-81.25346,"America/New_York","24NR"
"24OI","","Reeds Airport","St Paris","Ohio","US",1200,40.077835,-83.897155,"America/New_York","24OI"
"24PS","","Spring Hill Airport","Sterling","Pennsylvania","US",1729,41.347418,-75.415924,"America/New_York","24PS"
"24SC","","The Farm Airport","Summit","South Carolina","US",580,33.935833,-81.429722,"America/New_York","24SC"
"24TA","","Moore Ranch Airport","Centerville","Texas","US",315,31.213238,-95.827454,"America/Chicago","24TA"
"24VA","","Cherrystone Airport","Cheriton","Virginia","US",14,37.288193,-75.999655,"America/New_York","24VA"
"24XA","","Cross-B Airport","San Antonio","Texas","US",530,29.320969,-98.370294,"America/Chicago","24XA"
"25AA","","Skyflight Airport","Fairbanks","Alaska","US",1100,64.928658,-147.880572,"America/Anchorage","25AA"
"25AK","","Honeybee Lake Aero Park Airport","Willow","Alaska","US",200,61.712239,-150.063331,"America/Anchorage","25AK"
"25AR","","Cedar Creek Ranch Airport","Belleville","Arkansas","US",420,35.133423,-93.475187,"America/Chicago","25AR"
"25AZ","","Mystery Well Ranch Airport","Portal","Arizona","US",4173,31.815947,-109.057281,"America/Phoenix","25AZ"
"25CA","","Loma Madera Ranch Airport","Santa Ysabel","California","US",3375,33.179207,-116.792524,"America/Los_Angeles","25CA"
"25CD","","Lux Field","Hartsel","Colorado","US",9300,39.152333,-105.720167,"America/Denver","25CD"
"25CL","","Van Dyke Strip","Pleasant Grove","California","US",48,38.866564,-121.484401,"America/Los_Angeles","25CL"
"25CO","","Crystal Lakes Airport","Red Feather Lakes","Colorado","US",8440,40.851647,-105.63305,"America/Denver","25CO"
"25FL","","Connells Wahoo Airport","Bushnell","Florida","US",65,28.631944,-82.157778,"America/New_York","25FL"
"25GA","","Jj's Ranch Airport","Douglasville","Georgia","US",750,33.659554,-84.662989,"America/New_York","25GA"
"25IA","","Virl B Deal Airfield","St. Ansgar","Iowa","US",1180,43.395097,-92.963711,"America/Chicago","25IA"
"25IL","","Holzwarth Flying Service Airport","Virden","Illinois","US",681,39.516446,-89.869674,"America/Chicago","25IL"
"25IN","","Reid-Eash Airport","Howe","Indiana","US",879,41.702828,-85.419424,"America/Indiana/Indianapolis","25IN"
"25KS","","Wyrill Farming Airport","Kirwin","Kansas","US",1700,39.683344,-99.128422,"America/Chicago","25KS"
"25LA","","Plane Crazy Airport","Albany","Louisiana","US",57,30.546069,-90.576333,"America/Chicago","25LA"
"25MD","","Whalen Field","Sudlersville","Maryland","US",70,39.167539,-75.840211,"America/New_York","25MD"
"25MI","","Howard Airfield","St. Johns","Michigan","US",761,42.938528,-84.577183,"America/Detroit","25MI"
"25MO","","Cook Airport","Carl Junction","Missouri","US",920,37.185833,-94.551111,"America/Chicago","25MO"
"25MT","","Blatter Airport","Glasgow","Montana","US",2800,48.422222,-106.253333,"America/Denver","25MT"
"25NC","","Smith Air Strip","Asheboro","North Carolina","US",560,35.633333,-79.71,"America/New_York","25NC"
"25ND","","Landeis Airstrip","Mandan","North Dakota","US",1853,46.866589,-100.986447,"America/North_Dakota/New_Salem","25ND"
"25NH","","Presby Field","Franconia","New Hampshire","US",1250,44.232417,-71.716306,"America/New_York","25NH"
"25NK","","Loucks Airport","Hammondsport","New York","US",1425,42.436181,-77.132192,"America/New_York","25NK"
"25NM","","Dream Catcher Ranch Airport","Pie Town","New Mexico","US",7253,34.476944,-108.031111,"America/Denver","25NM"
"25NV","","Parker Carson Airport","Carson City","Nevada","US",4938.9,39.201578,-119.683441,"America/Los_Angeles","25NV"
"25OH","","Hammond Airport","Louisville","Ohio","US",1050,40.913114,-81.259828,"America/New_York","25OH"
"25OK","","Wildlife Ranch Airport","Comanche","Oklahoma","US",986,34.314444,-97.995556,"America/Chicago","25OK"
"25SC","","Mountain Ridge Airport","Greenville","South Carolina","US",980,34.960639,-82.337389,"America/New_York","25SC"
"25TA","","Ferris Airport","Baytown","Texas","US",35,29.836613,-94.967427,"America/Chicago","25TA"
"25TS","","Miller Airfield","Dalhart","Texas","US",3961,36.091699,-102.415746,"America/Chicago","25TS"
"25TX","","Chennault Airfield","Cut And Shoot","Texas","US",169,30.314357,-95.327123,"America/Chicago","25TX"
"25VA","","Toddsbury Farm Airport","Aylett","Virginia","US",50,37.821583,-77.112639,"America/New_York","25VA"
"25VG","","Ct Fields Airport","Galax","Virginia","US",2350,36.6356,-80.9139,"America/New_York","25VG"
"25WA","","Hart Ranch Airport","Tonasket","Washington","US",2608,48.576547,-119.06476,"America/Los_Angeles","25WA"
"25WN","","Little Plum Creek Airport","Pepin","Wisconsin","US",830,44.528718,-92.120341,"America/Chicago","25WN"
"25XA","","Headwaters Airport","Fredericksburg","Texas","US",1974,30.092986,-98.701236,"America/Chicago","25XA"
"25XS","","Moonbow Field","Waxahachie","Texas","US",650,32.486528,-96.846388,"America/Chicago","25XS"
"26AR","","Fly ""N"" K Airport","Searcy","Arkansas","US",400,35.2155,-91.807833,"America/Chicago","26AR"
"26AS","","Marvell West Airport","Marvell","Arkansas","US",193,34.5602,-90.932568,"America/Chicago","26AS"
"26AZ","","Flying Dares Ranch Airport","Aguila","Arizona","US",2192,34.011972,-113.202971,"America/Phoenix","26AZ"
"26CA","","Boeckmann Ranch Airport","Wilton","California","US",100,38.426855,-121.171613,"America/Los_Angeles","26CA"
"26CL","","Ranchita 2608 Airport","Ranchita","California","US",4095,33.205278,-116.513194,"America/Los_Angeles","26CL"
"26FD","","Hennessy Airport","Arcadia","Florida","US",50,27.051167,-81.848139,"America/New_York","26FD"
"26GA","","Little Airport","Summerville","Georgia","US",776,34.402607,-85.286744,"America/New_York","26GA"
"26IA","","Midway View Farms Airport","Correctionville","Iowa","US",1355,42.373773,-95.765187,"America/Chicago","26IA"
"26ID","","Moose Lodge Airport","Sandpoint","Idaho","US",2081,48.363889,-116.403611,"America/Los_Angeles","26ID"
"26IL","","Straeter Rla Airport","Highland","Illinois","US",522,38.741085,-89.567892,"America/Chicago","26IL"
"26IN","","Haven Center Airport","Fort Wayne","Indiana","US",753,41.113,-84.90356,"America/Indiana/Indianapolis","26IN"
"26IS","","Ficklin-Airtech Airport","Fairbury","Illinois","US",672,40.766701,-88.505612,"America/Chicago","26IS"
"26MA","","Pepperell Airport","Pepperell","Massachusetts","US",176,42.696194,-71.550056,"America/New_York","26MA"
"26MI","","Van Strien Airport","Lowell","Michigan","US",624,42.92392,-85.378073,"America/Detroit","26MI"
"26MN","","Christianson Field","Halstad","Minnesota","US",874,47.329971,-96.783689,"America/Chicago","26MN"
"26MT","","Hutchinson Airport","Hingham","Montana","US",2900,48.835633,-110.442017,"America/Denver","26MT"
"26NC","","Boonville Airport","Boonville","North Carolina","US",1003,36.222914,-80.715621,"America/New_York","26NC"
"26NV","","Darrow Field","Fallon","Nevada","US",3965,39.452656,-118.866294,"America/Los_Angeles","26NV"
"26OG","","Oakridge Ranch Airport","Eagle Point","Oregon","US",1560,42.463211,-122.733972,"America/Los_Angeles","26OG"
"26OH","","Ross Airport","Wakeman","Ohio","US",890,41.209806,-82.356117,"America/New_York","26OH"
"26OK","","Pheasant Wings Airport","Sasakwa","Oklahoma","US",987,34.952681,-96.612528,"America/Chicago","26OK"
"26WI","","Kitty-Wompus Airport","Exeland","Wisconsin","US",1336,45.699125,-91.303492,"America/Chicago","26WI"
"26XS","","Tatum Ranch Airport","Blanco","Texas","US",1420,30.114096,-98.461411,"America/Chicago","26XS"
"27AK","","Johnson Strip Yentna Airport","Skwentna","Alaska","US",187,61.9454,-151.036967,"America/Anchorage","27AK"
"27AL","","Little Texas Airport","Tuskegee","Alabama","US",500,32.453528,-85.558156,"America/Chicago","27AL"
"27AZ","","Eagle Roost Airpark","Aguila","Arizona","US",2206,33.91935,-113.167817,"America/Phoenix","27AZ"
"27CA","","Holiday Ranch Airport","Apple Valley","California","US",3260,34.561106,-117.080595,"America/Los_Angeles","27CA"
"27CL","","Sopwith Farm Airport","Pleasant Grove","California","US",20,38.747124,-121.572736,"America/Los_Angeles","27CL"
"27FA","","Stanchester Airport","Lithia","Florida","US",96,27.8062,-82.141365,"America/New_York","27FA"
"27GA","","Wilson Airstrip","Carrollton","Georgia","US",1050,33.658442,-85.009944,"America/New_York","27GA"
"27IA","","Oldfield Aero Airport","Keosauqua","Iowa","US",750,40.751451,-92.030822,"America/Chicago","27IA"
"27ID","","Huddleston Airport","Filer","Idaho","US",3697,42.582954,-114.5501,"America/Boise","27ID"
"27IS","","Gelfius International Airport","Dahlgren","Illinois","US",530,38.148937,-88.670335,"America/Chicago","27IS"
"27KS","","Bellamy Farm Airport","Goodland","Kansas","US",3707,39.130186,-101.713947,"America/Denver","27KS"
"27LL","","Sullivan Field","Valmeyer","Illinois","US",400,38.373392,-90.320658,"America/Chicago","27LL"
"27MD","","Myles Landing Airport","Church Hill","Maryland","US",70,39.098375,-75.895215,"America/New_York","27MD"
"27MI","","Miller Field","Vassar","Michigan","US",705,43.372801,-83.486621,"America/Detroit","27MI"
"27MN","","Lake Bronson Airport","Lake Bronson","Minnesota","US",960,48.737478,-96.654488,"America/Chicago","27MN"
"27MO","","Route 66 Airfield","Carthage","Missouri","US",1055,37.193889,-94.224167,"America/Chicago","27MO"
"27MS","","Jolly Field","Carthage","Mississippi","US",384,32.758261,-89.40871,"America/Chicago","27MS"
"27MT","","Rahn Airport","Kalispell","Montana","US",3090,48.321917,-114.327472,"America/Denver","27MT"
"27ND","","Overland-Lohse Field","Alamo","North Dakota","US",2124,48.578631,-103.465978,"America/Chicago","27ND"
"27NE","","Hendricks Field","Grant","Nebraska","US",3450,40.722772,-101.795728,"America/Denver","27NE"
"27NK","","Mohawk Air Park","Schyler","New York","US",1079,43.113317,-75.044467,"America/New_York","27NK"
"27NR","","C A G Farms Airport","Angier","North Carolina","US",319,35.468207,-78.652903,"America/New_York","27NR"
"27OH","","Schaller Airport","Findlay","Ohio","US",830,40.946719,-83.679933,"America/New_York","27OH"
"27OK","","Thomas Landing Airport","Ponca City","Oklahoma","US",1110,36.742258,-96.963925,"America/Chicago","27OK"
"27PS","","Van Blarcom Airport","Columbia Cross Roads","Pennsylvania","US",1510,41.855944,-76.82875,"America/New_York","27PS"
"27TX","","Sands Hill Airport","Carmine","Texas","US",403,30.119444,-96.712222,"America/Chicago","27TX"
"27WA","","Jc's Airport","Conway","Washington","US",236,48.325102,-122.31571,"America/Los_Angeles","27WA"
"27WI","","Fox River Airport","Rochester","Wisconsin","US",822,42.750946,-88.250375,"America/Chicago","27WI"
"27WV","","Kurt's Field","Poca","West Virginia","US",670,38.478819,-81.803694,"America/New_York","27WV"
"27XS","","Sport Flyers Airport","Brookshire","Texas","US",180,29.838125,-95.949972,"America/Chicago","27XS"
"28AK","","Gates Ranch Airport","Glacier View","Alaska","US",1875,61.808877,-147.859346,"America/Anchorage","28AK"
"28AL","","Foshee Airport","Millbrook","Alabama","US",143,32.433222,-86.374592,"America/Chicago","28AL"
"28AR","","Henley Aerodrome","Charlotte","Arkansas","US",377,35.833333,-91.433333,"America/Chicago","28AR"
"28AZ","","Sampleys Airport","Aguila","Arizona","US",2208,33.922807,-113.181303,"America/Phoenix","28AZ"
"28CA","","Dos Palos Airport","Dos Palos","California","US",118,36.962447,-120.630183,"America/Los_Angeles","28CA"
"28DE","","Albanna Aviation Airport","Felton","Delaware","US",50,39.012875,-75.533968,"America/New_York","28DE"
"28FL","","Jim Finlay Farm Airport","Cresent City","Florida","US",40,29.441917,-81.583131,"America/New_York","28FL"
"28ID","","D Bar C Airport","Dixie","Idaho","US",5629,45.513484,-115.440288,"America/Los_Angeles","28ID"
"28II","","Cedar Farm Airport","Laconia","Indiana","US",453,37.974655,-86.056216,"America/Kentucky/Louisville","28II"
"28KY","","Brandon Airdrome Airport","Murray","Kentucky","US",525,36.575889,-88.313372,"America/Chicago","28KY"
"28MA","","Cannizzaro Field","Southwick","Massachusetts","US",250,42.079806,-72.818139,"America/New_York","28MA"
"28MI","","Miller-Herrold Airport","Cedar","Michigan","US",624,44.874443,-85.792585,"America/Detroit","28MI"
"28MN","","River Ridge Ranch Airport","Welch","Minnesota","US",1014,44.5681,-92.757017,"America/Chicago","28MN"
"28MO","","Pasley Airport","Roscoe","Missouri","US",790,37.973921,-93.818824,"America/Chicago","28MO"
"28MT","","Cain Ranch Airport","Lincoln","Montana","US",4480,46.953556,-112.748083,"America/Denver","28MT"
"28NE","","Big Thunder Airport","Clarkson","Nebraska","US",1740,41.790278,-97.096944,"America/Chicago","28NE"
"28NK","","Clayton Airfield","Clayton","New York","US",385,44.186944,-76.076389,"America/New_York","28NK"
"28NR","","Dry Pond Airport","Rutherfordton","North Carolina","US",1130,35.3475,-81.995,"America/New_York","28NR"
